audit_score,contract_deviations,compliance_violations,risk
68.82103458764077,49.95173808735479,14.450534058204811,2
9.138920024091012,10.742691007618227,16.05202629757077,2
21.910184844523727,12.327925544715612,12.01701735820404,2
10.11187343914276,43.452867894551915,0.9968510388585927,2
98.89245918850953,42.62859541039031,0.1784895007449161,2
5.784217058818875,21.1642541962494,19.980883751281844,2
71.70777032768432,9.594339726105838,10.010447086802973,1
96.30576600699563,43.31808948625163,13.045184022126485,2
37.245397105394176,1.2880517004835723,16.854239026599195,0
43.161874341263115,31.88907042173547,0.3364023930421034,1
36.773689416458666,25.276861076945156,2.6464630102622055,1
96.93053631880628,20.86163801573237,5.919685313630487,1
92.37298693048123,7.3960740642952105,12.024072078666068,1
76.07665922709002,9.13320332731945,5.199097593896034,1
65.10915957323469,2.2320933876138316,7.211966004823289,1
27.71594458069595,20.56995574663732,14.045830459065662,2
73.87852567401097,28.315442911734827,7.919730182493758,1
70.50067543929536,39.2227926773661,13.944045330827748,1
56.23096514930028,3.5090625101053483,6.033132899589595,0
23.44007141901234,9.889385986941118,3.394127980399322,2
92.46249044205896,34.75603461055821,15.143600622694933,1
45.512615794818544,15.520270742399312,12.596524640823816,0
33.14638716347912,14.696224323083456,10.966250116755806,0
84.67324368355871,5.413961440895693,15.43289810800088,1
41.99643117415556,0.6417651775368571,16.064905745286925,0
89.96531321020299,33.572289545999425,3.406690559044072,1
95.8083406072563,32.33821369332402,17.719854406425203,1
86.75314138200312,20.803501884490515,6.068104392765559,1
37.153793276196865,34.3033822244097,13.781637172582403,1
65.88592784881668,13.21543644767858,14.250269577375406,1
61.33771514701477,49.77661985376779,17.94625051503757,2
30.839678542290226,9.93691459025024,3.6683010010291572,0
39.4386954398241,22.708042043306897,11.502621698503221,1
14.686094352475276,42.06814444234942,4.971709249780211,2
16.45368579003883,4.045836159135269,3.0166122007087948,2
39.005704977859565,35.66576916585152,9.566231819778983,1
80.33804373381541,27.10215033739662,8.104557638988606,1
9.406140634335857,8.22105055616259,2.4877688565484335,2
69.95960451468997,27.47445395973139,17.007546327699792,1
38.65045581985533,37.74277055474658,19.596087371867284,1
97.29114147277758,9.645336888957345,2.9419873741410996,1
9.415872379189128,35.0730479237024,19.8260637363714,2
55.597383252730026,11.452778813128345,11.191959826026114,0
29.756370864444314,33.09371407137616,16.99239770643658,2
7.194935568683835,41.041917433275735,12.915935634684113,2
70.52538058518046,8.278225131355372,3.692135677411099,1
26.73479408747681,46.904147833124995,12.743555152416574,2
49.79277358414744,40.538883480850046,8.682263977121847,2
29.34912988004449,4.523740337494281,6.869512214867079,2
47.78385137865947,27.601448249806932,0.07943223461239768,1
37.45704937114521,44.61942751524178,17.988187182100248,2
46.58055665886547,33.11950845057518,0.11260599732330512,1
7.64803873029739,8.66798378804382,17.686316396370714,2
87.98842657105351,12.77590322182408,0.037395985122679054,1
63.27616322515074,40.478926729543154,14.727246762425214,2
10.704112733864724,48.600615579227615,8.098387957227072,2
50.13085743936233,45.51387703333105,19.129404236451965,2
59.99330110020244,38.40972944211415,3.752110029654274,1
20.27909598186952,30.875507711802758,6.409349455040072,2
60.89428042133095,44.313940088948165,18.447982227866937,2
26.29867058927795,8.789907473036646,8.755007372460145,2
59.99519936598852,36.573954889181664,19.784270756989386,1
34.71803604403632,29.51340840033617,17.709331115787023,1
39.6494544486689,10.675380045909428,10.104903510073079,0
