usd_irr,inflation_rate,interest_rate,risk
54498.63963085221,37.34697220567341,19.316367603394497,1
40593.931394227664,40.90678342940117,15.290817244097006,2
52277.76311982924,30.021138716523204,16.670336741881478,1
52974.877726846265,29.713425237946964,10.5522474430503,1
57289.332179184654,25.511060020626967,11.557075469438548,1
55894.58301323956,47.774481542201784,10.493654634784962,2
48735.52399567486,32.451017415442585,28.584294346449933,1
42314.800101599074,36.71803466102819,19.83821545172498,1
59018.88789344102,31.258240458323563,13.244783771671244,1
50178.87800711913,40.74859785961674,24.364483826203166,2
40407.74783330972,42.57525371448512,23.34609995096509,2
47115.839353410396,23.38241911093754,19.49202491056962,0
45951.390237455846,36.02025189684089,16.689665622403133,1
45624.199462855824,44.010010301044915,18.928259096741314,2
54165.209327268174,24.922033321339917,10.968986219675722,1
48819.868814599984,49.19948807348022,20.076558622155112,2
52681.8185866369,43.32003768769611,14.610851991975526,2
50955.43490258104,25.82513960615504,21.058742994678735,1
55108.41325327207,35.62853978309366,19.092782037428012,1
41913.660884138706,31.361353779561064,25.24036919517875,1
49817.25084307605,23.88266295475811,14.612412052607542,0
49607.97307453898,44.91223277540498,28.39645411825898,2
47814.21199233122,44.86246811958421,27.847053136106027,2
47072.2735529151,39.45957955655207,26.43405286347751,1
52886.74441806652,26.778531408715374,15.722326354304943,1
58789.04137052706,42.14369207243095,15.45075049044919,2
47159.44864297396,40.185592286179485,27.58068192456888,2
40231.98699992171,34.445094264609764,24.65963224497233,1
59114.75953184684,36.998881436450546,26.91421747489545,1
55048.9997769491,44.39243792711022,16.281626908727894,2
46704.92107296868,48.170555746365594,21.846730388067428,2
40368.453967682195,20.895757142180724,13.465422055901264,0
42231.36858333394,49.281367116904704,20.492501371342186,2
40711.95334714668,23.554713563449468,10.213312620438483,0
48149.679518249286,33.178670732533995,13.510771365860476,1
47975.6595636396,38.366690669284594,12.838376774475597,1
49261.380509815426,48.30263335893649,24.173409760410614,2
59953.22357403314,32.896886683479956,17.572186539908902,1
42007.42209302324,32.01009979873501,16.190059569803644,1
51024.86707243699,22.411360768354772,22.427285444482585,1
51513.74607015445,40.63428649838234,26.273378972198927,2
40818.167580775815,40.14485034160445,10.087069579046442,2
40901.67443013096,30.811460846588467,22.177794740930356,1
44794.95290988642,29.850822809337497,24.560311129290902,0
42718.36522027896,48.515556913593095,17.120475531800928,2
47494.244862944375,32.81535871099002,14.773202550911883,1
46092.171433327705,27.196356354657524,22.79756578084367,0
58568.19265537111,27.04131569306849,10.980489935098985,1
58949.911609667455,32.2302189756885,25.735610749536228,1
54221.067503737664,26.459800480534085,16.483741176160308,1
54196.73491528642,43.35129958370961,28.363146252616993,2
54128.98073500657,30.690138007999572,10.703370914484204,1
59444.6337416186,24.665518198560783,23.26883582997804,1
55333.69471399597,42.20196490393932,17.852164146595364,2
45639.85960851064,23.245666180351023,20.29574687227252,0
51363.10190304469,33.6910528004785,27.119309370981362,1
41039.92121673768,48.33701901614508,19.145603640253846,2
48919.700029752654,24.580052600033508,14.185208785646564,0
40465.094222896136,22.76822981827023,19.0618237803076,0
53844.41352650889,42.61951932356823,21.62389253446158,2
52269.33256032644,37.80268925955214,14.621687094802516,1
51082.00864902426,35.37400723835769,13.932941308586246,1
40147.9936277915,22.88244411941045,14.905226467861077,0
59177.32397488142,23.626689286750004,18.36676150496205,1
