temperature,pressure,flow_rate,level,vibration,risk,risk_reason
87.45401188473625,10.904532804161631,249.4563273866794,49.96702437290534,7.299983109899704,0,Normal (no specific factor)
145.07143064099162,12.10153489062532,233.1648384925613,74.67467725125942,1.845119955987116,1,High temperature
123.1993941811405,17.818210898032703,170.46156500114404,56.26667806563332,3.4663969436988618,1,High temperature - High pressure
109.86584841970368,10.100065790898382,342.90666804059515,8.330258311179639,6.632806368578183,1,High temperature - Low level
65.60186404424365,18.04474527218257,290.64966420345155,18.55802367835554,4.820893445244799,1,High pressure
65.59945203362027,6.322016464650373,446.2803969296015,21.932818403091915,7.385710386348938,0,Normal (no specific factor)
55.80836121681995,16.651976558129462,112.8438321928233,25.78642536448449,9.612079012228596,1,High pressure - High vibration - Low flow rate
136.6176145774935,17.713214495821045,357.5471710220505,56.54033919505043,1.165466877151975,1,High temperature - High pressure
110.11150117432088,7.7272647925600815,405.1795514046245,50.39657798253935,7.095677163980609,1,High temperature
120.80725777960456,11.455197985583006,403.7946276753228,20.316003836420894,2.303441556321145,1,High temperature
52.05844942958024,7.482496619954834,454.42958683821007,6.755484345568707,4.144767274075693,1,High flow rate - Low level
146.99098521619942,15.599061934913266,391.6134971317976,17.14322044747181,0.3286272579513982,1,High temperature - High pressure
133.24426408004217,13.030216520924853,471.12402465907854,98.43813126186032,1.3590738229269894,2,High temperature - High flow rate - High level
71.23391106782762,14.529850200624816,233.0626399283566,46.854694979147226,3.197772890488997,0,Normal (no specific factor)
68.18249672071006,7.947304504343167,301.2837667006172,86.73455047021125,3.419858052879849,1,High level
68.34045098534338,8.176187930786293,105.63186531315628,84.87524666688432,8.995852164620958,1,High vibration - Low flow rate
80.42422429595376,5.622459882648595,102.78303492131649,51.15195574628737,7.418129092665151,0,Low flow rate
102.4756431632238,9.831013027935946,196.05064818060796,70.66877084605436,9.72182968187041,1,High temperature - High vibration
93.19450186421156,13.396169920005123,140.3228788556341,19.275201041271227,5.9907151033524055,0,Normal (no specific factor)
79.1229140198042,17.869023709959933,204.08454717430143,68.83967049269083,2.41713732091318,1,High pressure
111.18528947223794,15.00391171188021,170.81731781135898,27.23845792632895,3.276550299216429,1,High temperature - High pressure
63.94938606520418,11.53094485099627,111.40800993545928,83.20620967541508,3.198359232919671,0,Low flow rate
79.21446485352182,19.296801715912068,463.72165856241975,8.372413310890991,3.264943276632516,2,High pressure - High flow rate - Low level
86.63618432936917,15.788678008637476,103.28925255555662,77.31386728852775,6.729641731118157,1,High pressure - Low flow rate
95.6069984217036,18.95247804293825,394.43285773483416,9.993690656861954,5.308079280904162,1,High pressure - Low level
128.51759613930136,12.913819599082483,160.8591547678066,88.1189236894309,3.854241780866443,1,High temperature - High level
